yolov3-custom
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
576
Loaded: 0.000073 seconds
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000148, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.607919, Class: 0.988799, Obj: 0.250676, No Obj: 0.001639, .5R: 0.600000, .75R: 0.200000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000017, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.629106, Class: 0.997775, Obj: 0.581211, No Obj: 0.001841, .5R: 0.750000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000033, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.688791, Class: 0.986050, Obj: 0.143092, No Obj: 0.001299, .5R: 1.000000, .75R: 0.200000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000030, .5R: -nan, .75R: -nan,  count: 0
1003: 1.373259, 1.107332 avg, 0.001000 rate, 11.035555 seconds, 64192 images
Loaded: 0.000083 seconds
Region 82 Avg IOU: 0.660678, Class: 0.990806, Obj: 0.239805, No Obj: 0.001787, .5R: 0.875000, .75R: 0.250000,  count: 8
Region 94 Avg IOU: 0.426187, Class: 0.648013, Obj: 0.000172, No Obj: 0.000037, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.615761, Class: 0.982361, Obj: 0.200886, No Obj: 0.002559, .5R: 1.000000, .75R: 0.090909,  count: 11
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000028, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.668387, Class: 0.893474, Obj: 0.414850, No Obj: 0.001866, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: 0.584925, Class: 0.435641, Obj: 0.000328, No Obj: 0.000018, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.640493, Class: 0.956620, Obj: 0.257290, No Obj: 0.001595, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000046, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.645897, Class: 0.986600, Obj: 0.448748, No Obj: 0.001286, .5R: 1.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000035, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.659450, Class: 0.991848, Obj: 0.160492, No Obj: 0.001776, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000033, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.627414, Class: 0.999100, Obj: 0.371890, No Obj: 0.001355, .5R: 0.750000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: 0.424913, Class: 0.568310, Obj: 0.000475, No Obj: 0.000031, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.682133, Class: 0.970025, Obj: 0.240320, No Obj: 0.001807, .5R: 1.000000, .75R: 0.222222,  count: 9
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000031, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.665908, Class: 0.997451, Obj: 0.215166, No Obj: 0.001581, .5R: 0.800000, .75R: 0.400000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000035, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.374426, Class: 0.983258, Obj: 0.128239, No Obj: 0.001257, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000016, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.761070, Class: 0.956138, Obj: 0.105373, No Obj: 0.001609, .5R: 1.000000, .75R: 0.500000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000018, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.689880, Class: 0.971671, Obj: 0.319305, No Obj: 0.001619, .5R: 0.750000, .75R: 0.500000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000011, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.551954, Class: 0.993690, Obj: 0.472539, No Obj: 0.001429, .5R: 0.500000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000028, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.600386, Class: 0.888675, Obj: 0.500594, No Obj: 0.002032, .5R: 0.750000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000051, .5R: -nan, .75R: -nan,  count: 0
