yolov3-custom
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
512
Loaded: 0.000083 seconds
Region 82 Avg IOU: 0.230028, Class: 0.703760, Obj: 0.684948, No Obj: 0.499374, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524343, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.214976, Class: 0.492038, Obj: 0.437742, No Obj: 0.497581, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: 0.130821, Class: 0.581174, Obj: 0.289157, No Obj: 0.524667, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.211824, Class: 0.607132, Obj: 0.692200, No Obj: 0.497246, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.523165, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.151660, Class: 0.459397, Obj: 0.419376, No Obj: 0.499507, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.066102, Class: 0.348431, Obj: 0.183353, No Obj: 0.523661, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.149740, Class: 0.373221, Obj: 0.654394, No Obj: 0.498920, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.523836, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.299719, Class: 0.425433, Obj: 0.459158, No Obj: 0.500401, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524193, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.144818, Class: 0.495490, Obj: 0.423512, No Obj: 0.499745, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524010, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.283070, Class: 0.338941, Obj: 0.672456, No Obj: 0.498677, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524904, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.270489, Class: 0.629271, Obj: 0.555220, No Obj: 0.499027, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524370, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.336899, Class: 0.560292, Obj: 0.519416, No Obj: 0.498899, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.525004, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.381698, Class: 0.670137, Obj: 0.646958, No Obj: 0.499835, .5R: 0.500000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524376, .5R: -nan, .75R: -nan,  count: 0
4: 590.674866, 591.640686 avg, 0.000000 rate, 8.601068 seconds, 256 images
Loaded: 0.000067 seconds
Region 82 Avg IOU: 0.320875, Class: 0.482210, Obj: 0.522815, No Obj: 0.498612, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524888, .5R: -nan, .75R: -nan,  count: 0
