yolov3-custom
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Loaded: 1.621513 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.341886, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.338575, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.121293, Class: 0.599939, Obj: 0.560363, No Obj: 0.460937, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.341201, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.025908, Class: 0.795341, Obj: 0.703504, No Obj: 0.460146, .5R: 0.000000, .75R: 0.000000,  count: 5
3: 669.406494, 667.930237 avg, 0.000000 rate, 10.620212 seconds, 192 images
Loaded: 0.000054 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.344552, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.188371, Class: 0.487232, Obj: 0.490690, No Obj: 0.460521, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.344767, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.242969, Class: 0.619256, Obj: 0.511921, No Obj: 0.459993, .5R: 0.333333, .75R: 0.000000,  count: 6
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.347783, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.128937, Class: 0.432118, Obj: 0.494489, No Obj: 0.460991, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.337954, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.053281, Class: 0.641384, Obj: 0.595304, No Obj: 0.459267, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.333657, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.213473, Class: 0.652521, Obj: 0.505276, No Obj: 0.458452, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.322991, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.177837, Class: 0.431987, Obj: 0.534836, No Obj: 0.457433, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.340307, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.086790, Class: 0.847123, Obj: 0.710092, No Obj: 0.458737, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.341016, .5R: -nan, .75R: -nan,  count: 0
